,life_satis,y_age,sex,educ,mar_st,occupation,vacation,money,fin_state_change,yj60.4a8,change_job,social_media,preg,physical_activity,alcohol,smoker,depression,health,level_of_trust,num_of_children,is_religious
27,3.0,89.0,2.0,1.0,5.0,4.0,0.0,25000.0,2.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,4.0,1.0,2.0,1.0
28,4.0,83.0,2.0,6.0,5.0,4.0,0.0,24750.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,4.0,3.0,1.0,3.0
29,4.0,33.0,2.0,6.0,2.0,12.0,1.0,30000.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0
30,2.0,80.0,1.0,6.0,2.0,4.0,0.0,27020.0,3.0,2.0,2.0,1.0,0.0,99999995.0,0.0,2.0,2.0,4.0,99999999.0,2.0,3.0
31,3.0,80.0,2.0,6.0,2.0,4.0,0.0,22180.0,3.0,2.0,2.0,1.0,0.0,99999995.0,0.0,2.0,2.0,4.0,1.0,2.0,3.0
32,2.0,55.0,2.0,5.0,5.0,11.0,0.0,55000.0,5.0,2.0,2.0,1.0,0.0,99999995.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0
33,2.0,38.0,1.0,6.0,1.0,12.0,1.0,25000.0,4.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0
34,4.0,34.0,1.0,2.0,1.0,13.0,0.0,40000.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0
35,4.0,49.0,1.0,6.0,2.0,12.0,2.0,100000.0,3.0,2.0,2.0,1.0,0.0,99999995.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0
36,4.0,47.0,2.0,6.0,2.0,12.0,1.0,62000.0,3.0,2.0,2.0,1.0,2.0,99999995.0,0.0,2.0,2.0,2.0,3.0,1.0,3.0
37,2.0,67.0,2.0,5.0,5.0,13.0,0.0,42000.0,5.0,2.0,2.0,1.0,0.0,99999995.0,0.0,2.0,2.0,4.0,3.0,3.0,1.0
38,4.0,83.0,2.0,5.0,5.0,4.0,0.0,18500.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,4.0,3.0,3.0,1.0
39,3.0,52.0,1.0,6.0,2.0,12.0,1.0,14000.0,3.0,2.0,99999997.0,1.0,0.0,99999995.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0
40,2.0,90.0,2.0,2.0,5.0,4.0,0.0,28500.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0
41,3.0,92.0,2.0,5.0,5.0,4.0,0.0,27000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,4.0,3.0,2.0,1.0
42,2.0,70.0,2.0,4.0,4.0,4.0,0.0,14500.0,5.0,2.0,2.0,0.0,0.0,99999995.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0
43,4.0,44.0,2.0,6.0,2.0,8.0,0.0,0.0,5.0,2.0,1.0,1.0,2.0,99999995.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
44,4.0,78.0,1.0,6.0,2.0,4.0,0.0,18100.0,3.0,2.0,2.0,0.0,0.0,99999995.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0
45,4.0,76.0,2.0,6.0,2.0,4.0,0.0,17400.0,3.0,2.0,2.0,1.0,0.0,99999995.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0
46,3.0,47.0,2.0,6.0,5.0,12.0,2.0,25000.0,3.0,2.0,2.0,1.0,2.0,99999995.0,0.0,2.0,2.0,2.0,3.0,1.0,2.0
47,4.0,69.0,2.0,6.0,2.0,4.0,0.0,31500.0,3.0,2.0,2.0,1.0,0.0,99999995.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0
48,4.0,72.0,1.0,5.0,2.0,4.0,0.0,21500.0,4.0,2.0,2.0,0.0,0.0,99999995.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0
49,3.0,48.0,1.0,3.0,1.0,8.0,0.0,99999997.0,5.0,2.0,1.0,1.0,0.0,99999995.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0
50,4.0,82.0,2.0,6.0,5.0,4.0,0.0,24870.0,3.0,2.0,2.0,0.0,0.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0
51,4.0,75.0,1.0,3.0,2.0,4.0,0.0,19170.0,3.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,1.0,4.0,2.0,2.0,2.0
52,3.0,64.0,2.0,4.0,2.0,4.0,0.0,17500.0,3.0,2.0,2.0,0.0,0.0,99999995.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0
53,4.0,57.0,2.0,5.0,4.0,12.0,2.0,31800.0,3.0,2.0,2.0,1.0,0.0,99999995.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0
54,4.0,82.0,2.0,4.0,5.0,4.0,0.0,36127.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,4.0,1.0,2.0,1.0
55,4.0,82.0,2.0,6.0,5.0,4.0,0.0,31600.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,2.0,3.0,0.0,2.0
56,3.0,80.0,2.0,5.0,5.0,4.0,0.0,21650.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0
57,4.0,50.0,2.0,4.0,2.0,13.0,0.0,30000.0,5.0,2.0,2.0,1.0,2.0,99999995.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
58,3.0,27.0,2.0,6.0,1.0,12.0,1.0,99999997.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0
59,4.0,27.0,2.0,6.0,2.0,12.0,1.0,19000.0,3.0,2.0,2.0,1.0,0.0,99999995.0,2.0,1.0,2.0,2.0,3.0,0.0,4.0
60,3.0,84.0,2.0,3.0,5.0,4.0,0.0,20500.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,99999997.0,5.0,3.0,1.0,2.0
61,4.0,48.0,1.0,4.0,1.0,9.0,0.0,2300.0,5.0,2.0,2.0,0.0,0.0,99999995.0,1.0,1.0,2.0,4.0,2.0,0.0,2.0
62,3.0,40.0,2.0,4.0,3.0,12.0,1.0,20000.0,99999997.0,2.0,2.0,1.0,2.0,99999995.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0
63,4.0,56.0,1.0,4.0,2.0,12.0,1.0,17000.0,3.0,2.0,2.0,1.0,0.0,4.0,0.0,1.0,2.0,99999999.0,3.0,1.0,2.0
64,4.0,58.0,2.0,4.0,2.0,12.0,1.0,27130.0,3.0,2.0,2.0,1.0,0.0,4.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0
65,3.0,60.0,2.0,4.0,5.0,12.0,1.0,32000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,1.0,2.0,2.0,2.0,1.0,3.0
66,3.0,66.0,2.0,6.0,1.0,12.0,1.0,44620.0,3.0,2.0,2.0,1.0,0.0,99999995.0,0.0,2.0,1.0,4.0,2.0,1.0,2.0
67,4.0,32.0,2.0,6.0,1.0,12.0,1.0,38000.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0
68,3.0,57.0,2.0,5.0,1.0,12.0,1.0,20800.0,4.0,2.0,2.0,1.0,0.0,99999995.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0
69,3.0,63.0,2.0,4.0,4.0,4.0,0.0,16600.0,3.0,2.0,2.0,1.0,0.0,99999995.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0
70,2.0,67.0,1.0,4.0,2.0,4.0,0.0,17260.0,3.0,2.0,2.0,1.0,0.0,99999995.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0
71,1.0,60.0,2.0,4.0,2.0,4.0,0.0,13600.0,3.0,2.0,2.0,1.0,0.0,99999995.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0
72,3.0,66.0,2.0,4.0,5.0,4.0,0.0,16590.0,3.0,2.0,2.0,0.0,0.0,99999995.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0
73,4.0,68.0,2.0,2.0,5.0,4.0,0.0,23300.0,2.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,5.0,3.0,4.0,1.0
74,3.0,68.0,2.0,5.0,5.0,4.0,0.0,19800.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,0.0,2.0
75,4.0,63.0,2.0,6.0,2.0,12.0,1.0,39224.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0
76,4.0,64.0,1.0,4.0,2.0,4.0,0.0,18900.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0
77,5.0,31.0,2.0,6.0,2.0,12.0,1.0,29500.0,2.0,2.0,2.0,1.0,2.0,99999995.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0
78,4.0,73.0,2.0,6.0,1.0,12.0,1.0,66000.0,3.0,2.0,2.0,0.0,0.0,6.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0
79,4.0,79.0,1.0,4.0,2.0,4.0,0.0,19000.0,4.0,2.0,2.0,0.0,0.0,99999995.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0
80,3.0,73.0,2.0,4.0,2.0,4.0,0.0,19400.0,3.0,2.0,2.0,2.0,0.0,99999995.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
81,2.0,51.0,2.0,5.0,5.0,12.0,1.0,12800.0,4.0,2.0,1.0,1.0,0.0,99999995.0,2.0,2.0,2.0,3.0,3.0,0.0,2.0
82,3.0,44.0,2.0,6.0,4.0,12.0,1.0,22300.0,4.0,2.0,2.0,1.0,2.0,99999995.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0
83,4.0,71.0,2.0,6.0,5.0,4.0,0.0,16700.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0
84,5.0,78.0,2.0,2.0,2.0,4.0,0.0,99999998.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,4.0,3.0,2.0,1.0
85,3.0,81.0,1.0,2.0,2.0,4.0,0.0,99999998.0,3.0,2.0,2.0,0.0,0.0,99999995.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0
86,4.0,84.0,2.0,5.0,5.0,4.0,0.0,20000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,3.0,3.0,1.0,4.0
87,3.0,56.0,1.0,4.0,4.0,9.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,1.0,2.0,3.0,3.0,0.0,3.0
88,4.0,63.0,2.0,4.0,2.0,4.0,0.0,14500.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,3.0,1.0,3.0,1.0
89,2.0,66.0,1.0,4.0,2.0,4.0,0.0,17600.0,3.0,2.0,2.0,0.0,0.0,99999995.0,2.0,1.0,2.0,4.0,2.0,3.0,4.0
90,3.0,34.0,2.0,5.0,5.0,12.0,1.0,16569.0,4.0,2.0,2.0,1.0,2.0,99999995.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0
91,99999997.0,97.0,2.0,2.0,5.0,4.0,0.0,32000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,5.0,99999997.0,1.0,1.0
92,3.0,74.0,2.0,4.0,2.0,4.0,0.0,17500.0,3.0,2.0,2.0,0.0,0.0,99999995.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0
93,2.0,79.0,1.0,2.0,2.0,4.0,0.0,17500.0,3.0,2.0,2.0,0.0,0.0,99999995.0,1.0,2.0,2.0,4.0,3.0,1.0,4.0
94,3.0,50.0,2.0,6.0,1.0,12.0,1.0,20000.0,3.0,2.0,1.0,1.0,2.0,99999995.0,2.0,2.0,2.0,4.0,3.0,1.0,4.0
95,2.0,83.0,2.0,5.0,2.0,4.0,0.0,18000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,4.0,3.0,3.0,2.0
96,3.0,83.0,1.0,1.0,2.0,4.0,0.0,26000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,4.0,3.0,3.0,2.0
97,1.0,69.0,2.0,5.0,2.0,4.0,0.0,15700.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,3.0,2.0,2.0
98,2.0,71.0,1.0,4.0,2.0,4.0,0.0,12300.0,4.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,1.0,4.0,3.0,2.0,2.0
99,1.0,64.0,2.0,2.0,5.0,4.0,0.0,12000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,1.0,2.0,1.0,3.0,3.0,2.0,99999997.0
100,3.0,62.0,1.0,3.0,5.0,4.0,0.0,9300.0,4.0,2.0,2.0,0.0,0.0,99999995.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0
101,3.0,38.0,1.0,3.0,4.0,12.0,2.0,20000.0,4.0,2.0,2.0,0.0,0.0,99999995.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0
102,3.0,60.0,2.0,4.0,2.0,12.0,1.0,21000.0,3.0,2.0,99999997.0,1.0,0.0,99999995.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0
103,4.0,62.0,1.0,4.0,2.0,12.0,1.0,22000.0,3.0,2.0,2.0,2.0,0.0,99999995.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0
104,3.0,63.0,2.0,4.0,2.0,4.0,0.0,16145.0,3.0,2.0,2.0,0.0,0.0,99999995.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0
105,2.0,65.0,1.0,4.0,2.0,4.0,0.0,22777.0,4.0,2.0,2.0,2.0,0.0,99999995.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0
106,4.0,51.0,2.0,4.0,3.0,12.0,1.0,20000.0,3.0,2.0,2.0,1.0,2.0,99999995.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0
107,3.0,64.0,2.0,4.0,2.0,12.0,2.0,23547.0,2.0,2.0,2.0,1.0,0.0,99999995.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0
108,4.0,67.0,1.0,4.0,2.0,12.0,2.0,51111.0,3.0,2.0,2.0,0.0,0.0,99999995.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0
109,3.0,36.0,2.0,3.0,1.0,12.0,1.0,18000.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
110,4.0,65.0,2.0,5.0,2.0,4.0,0.0,22500.0,3.0,2.0,2.0,1.0,0.0,99999995.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
111,4.0,65.0,1.0,4.0,2.0,4.0,0.0,18800.0,3.0,2.0,2.0,0.0,0.0,99999995.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0
112,3.0,69.0,2.0,5.0,4.0,4.0,0.0,19735.0,5.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0
113,3.0,72.0,1.0,5.0,5.0,4.0,0.0,14600.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0
114,3.0,52.0,2.0,6.0,3.0,12.0,1.0,50300.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
115,3.0,78.0,2.0,6.0,5.0,4.0,0.0,23246.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0
116,4.0,52.0,1.0,4.0,2.0,12.0,1.0,56600.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
117,4.0,52.0,2.0,4.0,2.0,12.0,1.0,38300.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
118,4.0,26.0,1.0,4.0,1.0,12.0,1.0,35000.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0
119,3.0,79.0,2.0,2.0,5.0,4.0,0.0,15242.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0
120,1.0,71.0,2.0,5.0,5.0,4.0,0.0,20954.0,4.0,2.0,2.0,1.0,0.0,99999995.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0
121,2.0,42.0,1.0,4.0,4.0,12.0,2.0,25000.0,4.0,2.0,2.0,1.0,0.0,99999995.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0
122,2.0,60.0,2.0,5.0,2.0,4.0,0.0,14200.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0
123,4.0,60.0,1.0,6.0,2.0,12.0,1.0,43000.0,4.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0
124,2.0,66.0,1.0,2.0,2.0,4.0,0.0,10380.0,3.0,2.0,2.0,0.0,0.0,99999995.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0
125,2.0,61.0,2.0,4.0,2.0,4.0,0.0,15330.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0
126,1.0,66.0,1.0,3.0,5.0,4.0,0.0,15850.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,3.0
127,2.0,83.0,2.0,2.0,5.0,4.0,0.0,25800.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,1.0,4.0,2.0,2.0,2.0
128,4.0,64.0,2.0,6.0,5.0,4.0,0.0,21300.0,4.0,2.0,2.0,2.0,0.0,99999995.0,0.0,2.0,2.0,3.0,3.0,1.0,2.0
129,5.0,68.0,2.0,6.0,5.0,4.0,0.0,13392.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,2.0,1.0
130,4.0,59.0,1.0,5.0,2.0,12.0,1.0,15000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
131,4.0,58.0,2.0,4.0,2.0,4.0,0.0,12546.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,3.0,2.0,2.0,1.0
132,4.0,36.0,1.0,4.0,6.0,12.0,1.0,25000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0
133,5.0,60.0,2.0,2.0,5.0,12.0,0.0,18500.0,3.0,2.0,2.0,0.0,0.0,99999995.0,1.0,1.0,2.0,3.0,2.0,7.0,2.0
134,4.0,32.0,2.0,4.0,4.0,12.0,2.0,17000.0,2.0,2.0,2.0,0.0,0.0,99999995.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0
135,4.0,27.0,1.0,3.0,1.0,12.0,2.0,15000.0,3.0,2.0,2.0,1.0,0.0,99999995.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0
136,3.0,59.0,2.0,6.0,5.0,12.0,1.0,37000.0,3.0,2.0,2.0,1.0,0.0,99999995.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0
137,3.0,67.0,2.0,3.0,1.0,4.0,0.0,13882.0,3.0,2.0,2.0,0.0,0.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0
138,4.0,37.0,1.0,5.0,1.0,12.0,2.0,20000.0,3.0,2.0,1.0,1.0,0.0,99999995.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0
139,4.0,81.0,2.0,2.0,2.0,4.0,0.0,27556.88,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,4.0,3.0,3.0,2.0
140,3.0,82.0,1.0,1.0,2.0,4.0,0.0,32556.88,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,4.0,3.0,3.0,2.0
141,3.0,71.0,2.0,5.0,2.0,4.0,0.0,20000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,4.0,3.0,2.0,2.0
142,4.0,78.0,1.0,3.0,2.0,4.0,0.0,24000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,3.0,2.0,2.0,99999997.0
143,4.0,67.0,2.0,4.0,2.0,4.0,0.0,11000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0
144,3.0,65.0,1.0,3.0,2.0,4.0,0.0,17000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
145,3.0,77.0,2.0,3.0,5.0,4.0,0.0,19000.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,3.0,3.0,0.0,1.0
146,2.0,64.0,2.0,6.0,5.0,4.0,0.0,13000.0,4.0,2.0,2.0,0.0,0.0,99999995.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0
147,3.0,37.0,1.0,6.0,2.0,12.0,1.0,46000.0,3.0,2.0,2.0,1.0,0.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0
148,3.0,59.0,2.0,5.0,2.0,4.0,0.0,17500.0,3.0,2.0,2.0,1.0,0.0,99999995.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0
149,2.0,63.0,1.0,4.0,2.0,12.0,1.0,28000.0,3.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
150,4.0,69.0,2.0,4.0,4.0,4.0,0.0,10350.0,3.0,2.0,2.0,1.0,0.0,99999995.0,0.0,2.0,2.0,4.0,99999999.0,2.0,2.0
151,4.0,61.0,2.0,5.0,5.0,4.0,0.0,8450.0,4.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0
152,4.0,56.0,2.0,3.0,4.0,12.0,2.0,28697.0,3.0,2.0,2.0,1.0,0.0,99999995.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0
153,1.0,74.0,2.0,2.0,5.0,4.0,0.0,22300.0,3.0,2.0,2.0,0.0,0.0,99999995.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0
154,3.0,64.0,2.0,4.0,2.0,4.0,0.0,12100.0,3.0,2.0,2.0,0.0,0.0,99999995.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0
